dataset,method,model,variant,top_m,n_queries,accuracy_at_1,mrr_at_5,mean_query_latency_seconds,median_query_latency_seconds,p95_query_latency_seconds,mean_embedding_latency_seconds,mean_retrieval_stage_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens
ESRS,BM25,–,standard,,1000,0.429,0.5290999999999999,0.012992901999999999,0.012371,0.01983864999999999,0.0,0.012992901999999999,0.0,0.0,0.0
ESRS,Dense,Harrier,standard,,1000,0.48,0.59315,0.016892937443882174,0.015973594807088348,0.0183678498715162,0.015879937443882178,0.0010130000000000004,0.0,0.0,0.0
ESRS,Dense,Linq-Embed-Mistral,standard,,1000,0.517,0.611,0.023076192424178073,0.02286074633896345,0.024551992914453136,0.019863192424178073,0.0032130000000000006,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Harrier,chunk_rerank,10.0,1000,0.377,0.46171666666666666,0.016036937443882182,0.0150013878010213,0.01747678024694316,0.015879937443882178,0.000157,0.0,0.0,0.0
ESRS,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,1000,0.434,0.5068333333333334,0.02050419242417808,0.020459907431155402,0.021924148382618962,0.019863192424178073,0.0006410000000000002,0.0,0.0,0.0
ESRS,PageIndex,GPT-5,standard,,1000,0.553,0.7391166666666668,153.363191,135.8025,284.85784999999976,0.0,153.363191,104417.544,9408.04,113825.584
FinanceBench,BM25,–,standard,,111,0.13513513513513514,0.1749249249249249,0.028379360360360362,0.02599,0.053123500000000004,0.0,0.028379360360360362,0.0,0.0,0.0
FinanceBench,Dense,Harrier,standard,,111,0.21621621621621623,0.31261261261261264,0.021647219668436097,0.018824601218104302,0.029552465908229297,0.019629201650418093,0.002018018018018019,0.0,0.0,0.0
FinanceBench,Dense,Linq-Embed-Mistral,standard,,111,0.18018018018018017,0.26186186186186183,0.02727228896856841,0.0263230966106057,0.02923506591841575,0.020029045725325167,0.007243243243243246,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Harrier,chunk_rerank,10.0,111,0.23423423423423423,0.342942942942943,0.019872444893661335,0.0169048057869076,0.0275524659082293,0.019629201650418093,0.00024324324324324323,0.0,0.0,0.0
FinanceBench,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,111,0.2072072072072072,0.30405405405405406,0.020470487166766606,0.0195124857127666,0.0211267694830894,0.020029045725325167,0.00044144144144144144,0.0,0.0,0.0
FinanceBench,PageIndex,GPT-5,standard,,111,0.5945945945945946,0.7232732732732733,157.79744144144144,122.82,335.6935,0.0,157.79744144144144,159999.72972972973,9638.945945945947,169638.67567567568
